player,id,team,salary,position,age,start_month,start_day,year 
Aaron Gordon,1,ORL,4171680,PF,20,1,3,2015
Aaron Gordon,2,ORL,4351320,PF,21,1,3,2016
Aaron Gordon,3,ORL,5504420,PF,22,1,3,2017
Aaron Gordon,4,ORL,21590909,PF,23,1,3,2018
Aaron Gordon,5,ORL,19863636,PF,24,1,3,2019
Andre Drummond,6,DET,3272091,C,22,1,3,2015
Andre Drummond,7,DET,22116750,C,23,1,3,2016
Andre Drummond,8,DET,23775506,C,24,1,3,2017
Andre Drummond,9,DET,25434263,C,25,1,3,2018
Andre Drummond,10,CLE,27093019,C,26,1,3,2019
Andrew Wiggins,11,MIN,5758680,SF,20,1,3,2015
Andrew Wiggins,12,MIN,6006600,SF,21,1,3,2016
Andrew Wiggins,13,MIN,7574322,SF,22,1,3,2017
Andrew Wiggins,14,MIN,25467250,SF,23,1,3,2018
Andrew Wiggins,15,GSW,27504630,SF,24,1,3,2019
Anthony Davis,16,NOP,7070730,C,22,2,3,2015
Anthony Davis,17,NOP,22116750,C,23,2,3,2016
Anthony Davis,18,NOP,23775506,C,24,2,3,2017
Anthony Davis,19,NOP,25434263,C,25,2,3,2018
Anthony Davis,20,LAL,25399705,C,26,2,3,2019
Bobby Portis,21,CHI,1453680,PF,20,2,3,2015
Bobby Portis,22,CHI,1516320,PF,21,2,3,2016
Bobby Portis,23,CHI,901910,PF,22,2,3,2017
Bobby Portis,24,WAS,1592436,PF,23,2,3,2018
Bobby Portis,25,NYK,14062500,PF,24,2,3,2019
Bradley Beal,26,WAS,5694674,SG,22,2,3,2015
Bradley Beal,27,WAS,22116750,SG,23,2,3,2016
Bradley Beal,28,WAS,23775506,SG,24,2,3,2017
Bradley Beal,29,WAS,25434263,SG,25,2,3,2018
Bradley Beal,30,WAS,25399705,SG,26,2,3,2019
CJ McCollum,31,POR,2525160,SG,24,2,3,2015
CJ McCollum,32,POR,3219579,SG,25,2,3,2016
CJ McCollum,33,POR,23962572,SG,26,2,3,2017
CJ McCollum,34,POR,25759766,SG,27,2,3,2018
CJ McCollum,35,POR,25834649,SG,28,2,3,2019
D'Angelo Russell,36,LAL,5103120,PG,19,2,3,2015
D'Angelo Russell,37,LAL,5332800,PG,20,2,3,2016
D'Angelo Russell,38,BRK,5562360,PG,21,2,3,2017
D'Angelo Russell,39,BRK,7019698,PG,22,2,3,2018
D'Angelo Russell,40,GSW,25579688,PG,23,2,3,2019
Dennis Schroder,41,ATL,1763400,PG,22,2,3,2015
Dennis Schroder,42,ATL,2708582,PG,23,2,3,2016
Dennis Schroder,43,ATL,15500000,PG,24,2,3,2017
Dennis Schroder,44,OKC,15500000,PG,25,2,3,2018
Dennis Schroder,45,OKC,14531250,SG,26,2,3,2019
Devin Booker,46,PHO,2127840,SG,19,2,3,2015
Devin Booker,47,PHO,2223600,SG,20,2,3,2016
Devin Booker,48,PHO,2319360,SG,21,2,3,2017
Devin Booker,49,PHO,3314365,SG,22,2,3,2018
Devin Booker,50,PHO,25579688,SG,23,2,3,2019
Elfrid Payton,51,ORL,2505720,PG,21,2,3,2015
Elfrid Payton,52,ORL,2613600,PG,22,2,3,2016
Elfrid Payton,53,PHO,3332340,PG,23,2,3,2017
Elfrid Payton,54,NOP,3000000,PG,24,2,3,2018
Elfrid Payton,55,NYK,7500000,PG,25,2,3,2019
